1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Last Update,Year,Sub Region,BU,Cluster,Country,Category,Range,Campaign,Playb ID,MX ID,CDU Naming,Burst,Media,Media Subtype,PM Type,Initial Date,End Date,Duration (W),Duration (D),Initial Month (num),Initial Month,End Month,Total Budget,Q1,Q2,Q3,Q4,Budget Check,Total WOA,W Off Air,Total TRPs,Total R1+,Total R3+,NS vs WM,Medium vs Campaign Budget,Medium vs Range Buget,Campaign vs Range Budget,Campaign vs Category Budget,Range vs Category Budget,Count Unique Campaigns,Similarity Index,Bgt Unique Cmps,Count Similar Campaigns,Bgt Similar Cmp,Similarity Check,is Q1?,SIX excl Q1,Sum of Sim Campaign Budget,Biggest Budget for the Sim Cmpn (cluster),Country Flag,Lead Country,Media Lead,Country + BU,Category Leads,// Q1,// Q2,// Q3,// Q4,Sort Media Subtype,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Deo,Black & White,Black & White,GL005,,Checkmate,1,Digital,PM & FF,Full Funnel Advanced,1-Feb-25,30-Apr-25,13,88,2,Feb,Apr, 428 , 286 , 143 ,,, TRUE ,,,,,,,82%,82%,100%,32%,32.4%, 0.37 , 0.20 , 428.41 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Deo,Black & White,Black & White,GL005,,Checkmate,1,Digital,Influencers,Non PM,1-Feb-25,30-Apr-25,13,88,2,Feb,Apr, 67 , 45 , 22 ,,, TRUE ,,,,,,,7%,7%,100%,32%,32.4%, 0.37 , 0.20 , 67.32 , -   , -   , -   , Yes , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Deo,Deep,Deep,EM019,,DEEP-2024-MULTI MU ,1,Digital,PM & FF,Full Funnel Advanced,1-Mar-25,30-Apr-25,9,60,3,Mar,Apr, 110 , 55 , 55 ,,, TRUE ,,,,,,,100%,100%,100%,4%,3.6%, 0.37 , 1.00 , 110.16 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , 1.00 , 1.00 , -   , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Deo,Derma Control,Derma Control,EM015,,Clinical,1,TV,Open TV,Non PM,1-Sep-25,30-Oct-25,8,59,9,Sep,Oct, 337 ,,, 168 , 168 , TRUE ,,,,,,,20%,20%,100%,56%,56.0%, 0.37 , 0.17 , 336.61 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 2 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Deo,Derma Control,Derma Control,EM015,,Clinical,1,Digital,PM & FF,Full Funnel Advanced,1-Aug-25,30-Nov-25,17,121,8,Aug,Nov, 459 ,,, 230 , 230 , TRUE ,,,,,,,68%,68%,100%,56%,56.0%, 0.37 , 0.17 , 459.02 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Deo,Derma Control,Derma Control,EM015,,Clinical,1,Digital,Influencers,Non PM,1-Aug-25,30-Nov-25,17,121,8,Aug,Nov, 67 ,,, 34 , 34 , TRUE ,,,,,,,4%,4%,100%,56%,56.0%, 0.37 , 0.17 , 67.32 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , -   , 1.00 , 1.00 , 4 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Deo,Pearl & Beauty,Pearl & Beauty,EM035,,Pearl & Beauty Refresh Origination,1,Digital,PM & FF,Full Funnel Advanced,1-May-25,30-Jul-25,13,90,5,May,Jul, 245 ,, 163 , 82 ,, TRUE ,,,,,,,100%,100%,100%,8%,8.0%, -   , 1.00 , -   , 0.14 , 244.81 , 6.00 , No , 1.00 , 244.81 , 244.81 ,  ,  ,  ,   ,  , -   , 1.00 , 1.00 , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Cellular,Cellular Filler,GL079,,Speedy Gonzalez,1,TV,Open TV,Non PM,1-Apr-25,30-May-25,8,59,4,Apr,May, 323 ,, 323 ,,, TRUE ,,,,,,,38%,35%,61%,24%,39.0%, 0.37 , 0.14 , 322.91 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , 1.00 , -   , -   , 2 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Cellular,Cellular Filler,GL079,,Speedy Gonzalez,1,Digital,PM & FF,Full Funnel Advanced,1-Apr-25,30-Jun-25,13,90,4,Apr,Jun, 565 ,, 565 ,,, TRUE ,,,,,,,50%,51%,61%,24%,39.0%, 0.37 , 0.14 , 564.69 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , 1.00 , -   , -   , 1 ,
, ABP 2025 ,2025,ANZ,Nivea,India + ANZ,Australia,Face Care,Cellular,Cellular Filler,GL079,,Speedy Gonzalez,1,Digital,Influencers,Non PM,1-Apr-25,30-Jun-25,13,90,4,Apr,Jun, 116 ,, 116 ,,, TRUE ,,,,,,,5%,5%,61%,24%,39.0%, 0.37 , 0.14 , 116.18 , -   , -   , -   , No , -   ,  , -   ,  ,  ,  ,   ,  , -   , 1.00 , -   , -   , 4 ,
